code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
892,AVENIDA SILVERIO,ETR MAGARCA - GUARATIBA - COMPLEXO ESTRADA DO MAGARÇA,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.419
893,"ESTRADA DO MAGARCA, N 2823",ESTR DO MAGARÇA 2823 - GUARATIBA - COMPLEXO ESTRDA DO MAGARÇA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,CV,CV,0.5
894,ESTRADA DO CACHAMORRA,ESTR DO CACHAMORRA - GUARATIBA - COMPLEXO DO LARGO DO CORREA 1,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.483
895,AVENIDA DAS AMERICAS KM 37-II,AVN DAS AMERICAS KM 37 - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.344
896,"ESTRADA DO MATO ALTO, N 5078",ESTR DO MATO ALTO 5078 - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,CV,0.545
897,TRAVESSA DOS VIEIRAS,ESTR MATO ALTO - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.519
898,BAIRRO ABC,ETR MATO ALTO - GUARATIBA,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,
899,GRANJA AVICOLA PASTORIL (ANTIGO),ESTR MATO ALTO - GUARATIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,
900,"RUA DONA EMILIA, 05",RUA DONA EMILIA 5 - INHAUMA,2,COMPLEXO DO ALEMAO OCCUPATION,,COMPLEXO DO ALEMAO OCCUPATION,DISARTICULATED CV,CV,CV,CV,CV,CV,
901,LINHA AMARELA (ACESSO A AV. AUTOMOVEL CLUBE),LINHA AMARELA - ACESSO AUTOMÓVEL CLUBE - INHAÚMA - COMPLEXO LAGOA REDONDA,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
902,CASARAO,RUA ENGENHO DA RAINHA - INHAÚMA,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
903,PARQUE EVEREST (RUA ARQUIBUI),RUA ARQUIBUI INHAUMA - COMPLEXO PARQUE EVEREST,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.404
904,ESTRADA DE INHOAIBA (PROXIMA LT 02-QD 32),ESTR DE INHOAIBA - INHOAIBA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,CV,0.537
905,ESTRADA PEDRO BORGES DE FREITAS (PROXIMA AO N 323,ETR PEDRO BORGES DE FREITAS - IRAJÁ,2,TCP,,TCP,ARMED,TCP,TCP,TCP,ADA,ADA,0.398
906,NOSSA SENHORA DA APRESENTACAO,PÇA N SRA DA APRESENTAÇÃO 298 - IRAJÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,ADA,0.539
907,"ESTRADA DE JACAREPAGUA, 2679",ESTR DE JACAREPAGUÁ 2679 - ITANHANGÁ,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.44
908,REGATA,ESTR JACAREPAGUÁ 1193 - ITANHANGÁ ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.637
909,COMUNIDADE DO ADONIS,RUA INABU 50 - JACARÉ - COMPLEXO DO JACAREZINHO,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,
910,"ENGENHEIRO ALBERTO MOAS, PROXIMA AO N 75",RUA ENG ALBERTO MOAS - JACARÉ - COMPLEXO DO JACAREZINHO,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,
911,ANTIGA COMPANY,RUA GARANHUNS 41 - JACARÉ - COMPL DO JACAREZINHO,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,
912,"AVENIDA MENEZES CORTES, N 12",AVN MENEZES CORTES - FREGUESIA - JACAREPAGUÁ,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,
913,AVENIDA MENEZES CORTES (COM ESTRADA DOS TRES RIOS),AVN MENEZES CORTES - FREGUESIA - JACAREPAGUÁ,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,
914,ESTRADA DO RIO PEQUENO (PROXIMA A RUA 1),ESTR DO RIO PEQUENO - JACAREPAGUÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,0.318
